ein,year,reference_link,tax_period_end_date,tax_period_start_date,return_type_code,investment_income,gross_rent_income,royalties_income,sale_of_assets_income,investment_management_fees,royalties_expenses,revenue_government_grants,cy_endowment_beginning_balance,cy_endowment_contributions,cy_endowment_net_investment_earnings,cy_endowment_grants_scholarships,cy_endowment_other_expenditures,cy_endowment_admin_expenses,cy_endowment_end_balance
04-2103580,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202401309349304335,2023-06-30,2022-07-01,990,419470369,23852345,85590340,1350099397,128722073,3455691,657397375,49425810000,431655000,1298941000,345682000,1182415000,300636000,49327673000
04-2103580,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202311319349301331,2022-06-30,2021-07-01,990,349946534,26045538,179924584,4661025677,147225956,3849636,619901463,51619868000,770348000,-914067000,322730000,1459422000,268187000,49425810000
04-2103580,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202211329349303081,2021-06-30,2020-07-01,990,214934659,23912242,125483481,5042318424,150336248,3673471,591358202,40674723000,427462000,12445078000,286382000,1400197000,240816000,51619868000
04-2103580,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202131339349302713,2020-06-30,2019-07-01,990,255305181,27967666,83564729,3686321020,110296585,4060367,584437200,39731489000,289890000,2594836000,301653000,1408827000,231012000,40674723000
04-2103580,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202031919349301613,2019-06-30,2018-07-01,990,252783408,43446785,118539327,2693491487,138553750,3605432,600606340,38047627000,1203653000,2254628000,294783000,1243231000,236405000,39731489000
04-2103580,2017,https://projects.propublica.org/nonprofits/download-xml?object_id=201931299349301613,2018-06-30,2017-07-01,990,233116195,38162538,77774333,1655238172,130353749,3880021,592248780,35963722000,532697000,3226038000,590848000,875767000,208216000,38047626000
04-2103580,2016,https://projects.propublica.org/nonprofits/download-xml?object_id=201801309349301215,2017-06-30,2016-07-01,990,371025079,25537036,58752212,1890702165,231258838,4124683,575676502,34557074000,530880000,2567516000,560896000,930850000,200002000,35963722000
04-2103580,2015,https://projects.propublica.org/nonprofits/download-xml?object_id=201721329349300512,2016-06-30,2015-07-01,990,356449788,28904589,61869744,676643080,171726615,4185832,562978685,36428531000,470076000,-602930000,257659000,1275992000,204952000,34557074000
04-2103580,2014,https://projects.propublica.org/nonprofits/download-xml?object_id=201601349349304030,2015-06-30,2014-07-01,990,467554615,32796795,38394969,2152164319,210640651,4152332,548158621,35259921000,1011117000,1892160000,250265000,1288277000,196125000,36428531000
04-2103580,2013,https://projects.propublica.org/nonprofits/download-xml?object_id=201521349349302022,2014-06-30,2013-07-01,990,479365224,29805802,39298286,2518775955,177360082,6064630,580469574,31627772000,736006000,4529290000,253540000,1192682000,186925000,35259921000
06-0646973,2022,https://projects.propublica.org/nonprofits/download-xml?object_id=202441369349303279,2023-06-30,2022-07-01,990,448484811,6810406,11429589,1747783126,205627583,2711131,757357200,41501681084,291890000,758684000,219895942,1287616145,123808753,40920934244
06-0646973,2021,https://projects.propublica.org/nonprofits/download-xml?object_id=202321359349305547,2022-06-30,2021-07-01,990,392763869,8145169,15889790,3029442584,140746382,2954147,714086283,42356948318,301355000,265880000,200886111,1110684565,110931558,41501681084
06-0646973,2020,https://projects.propublica.org/nonprofits/download-xml?object_id=202211369349304576,2021-06-30,2020-07-01,990,61143382,1922735,14136434,3588100447,86968318,3212360,650610267,31244272067,636119000,12052824000,194279342,1284375555,97611852,42356948318
06-0646973,2019,https://projects.propublica.org/nonprofits/download-xml?object_id=202141379349304104,2020-06-30,2019-07-01,990,370913307,3495688,9228260,1726704243,162684933,2563731,610835064,30358036252,331706000,1931965000,194735352,1088897099,93802734,31244272067
06-0646973,2018,https://projects.propublica.org/nonprofits/download-xml?object_id=202011969349302901,2019-06-30,2018-07-01,990,463367428,5160921,9744557,1685452313,115874352,2675570,598527785,29509378000,381186000,1629992000,186492442,886059903,89967403,30358036252
