university_name,city,state,ncse_response_type,ipeds_institutional_sector,ipeds_carnegie_classification,ipeds_hbcu_status,ein
Harvard University,Cambridge,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,04-2103580
Yale University,New Haven,CT,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,06-0646973
Stanford University,Stanford,CA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,94-1156365
The Trustees of Princeton University,Princeton,NJ,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,21-0634501
Massachusetts Institute of Technology,Cambridge,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,04-2103594
"University of Pennsylvania, Trustees of the",Philadelphia,PA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,23-1352685
University of Notre Dame,Notre Dame,IN,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,35-0868188
"Columbia University, Trustees of",New York,NY,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,13-5598093
Northwestern University,Evanston,IL,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,36-2167817
The Johns Hopkins University,Baltimore,MD,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,52-0595110
Washington University in St. Louis,Saint Louis,MO,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,43-0653611
Duke University,Durham,NC,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,56-0532129
Emory University,Atlanta,GA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,58-0566256
Cornell University,New York City,NY,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,15-0532082
Vanderbilt University,Nashville,TN,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,62-0476822
The University of Chicago,Chicago,IL,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,36-2177139
Dartmouth College,Hanover,NH,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,02-0222111
University of Southern California,Los Angeles,CA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,95-1642394
Rice University,Houston,TX,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,74-1109620
Brown University,Providence,RI,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,05-0258809
New York University,New York,NY,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,13-5562308
California Institute of Technology,Pasadena,CA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,95-1643307
Carnegie Mellon University,Pittsburgh,PA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,25-0969449
"Boston College, Trustees of",Chestnut Hill,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,04-2103545
Williams College,Williamstown,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,04-2104847
Georgetown University,Washington,DC,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,53-0196603
Amherst College,Amherst,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,04-2103542
Boston University,Boston,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,04-2103547
University of Richmond,Richmond,VA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,54-0505965
Wellesley College,Wellesley,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,04-2103637
Pomona College,Claremont,CA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,95-1664112
University of Rochester,Rochester,NY,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,16-0743209
Swarthmore College,Swarthmore,PA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,23-1352683
Texas Christian University,Fort Worth,TX,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,75-0827465
"Grinnell College, Trustees of",Grinnell,IA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,42-0680387
George Washington University,Washington,DC,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,53-0196584
Bowdoin College,Brunswick,ME,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,01-0215213
Smith College,Northampton,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,04-1843040
Tufts University,Medford,MA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,04-2103634
The Rockefeller University,New York,NY,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Special Focus,Non-HBCU,13-1624158
Case Western Reserve University,Cleveland,OH,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,34-1018992
Tulane University,New Orleans,LA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,72-0423889
University of Colorado Foundation,Denver,CO,Institutionally-related foundation (IRF),State System Office/Administration Unit,N/A,Non-HBCU,84-6049811
Southern Methodist University,Dallas,TX,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,75-0800689
Syracuse University,Syracuse,NY,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,15-0532081
Baylor University,Waco,TX,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,74-1159753
Washington & Lee University,Lexington,VA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,54-0505977
Wake Forest University,Winston-Salem,NC,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,56-0532138
Saint Louis University,Saint Louis,MO,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,43-0654872
Lehigh University,Bethlehem,PA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,24-0795445
Trinity University,San Antonio,TX,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,74-1109633
The Medical College of Wisconsin,Milwaukee,WI,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Special Focus,Non-HBCU,39-0806261
Berea College,Berea,KY,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,61-0444650
Middlebury College,Middlebury,VT,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,03-0179298
University of Miami,Coral Gables,FL,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,59-0624458
Wesleyan University,Middletown,CT,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Baccalaureate,Non-HBCU,06-0646959
Santa Clara University,Santa Clara,CA,Private college/university endowment or Other non-profit institution,4-Year Private Nonprofit College/University,Doctoral,Non-HBCU,94-1156617
