university_name,undergrad_enrollment,grad_enrollment,year,total_enrollment
A T Still University of Health Sciences,null,3857,2019,3857
Aaniiih Nakoda College,131,null,2019,131
Abilene Christian University,3525,1767,2019,5292
Abilene Christian University-Undergraduate Online,null,null,2019,null
Abraham Baldwin Agricultural College,3927,null,2019,3927
Abraham Lincoln University,54,171,2019,225
Academy College,105,null,2019,105
Academy for Five Element Acupuncture,null,86,2019,86
Academy for Jewish Religion,null,null,2019,null
Academy for Jewish Religion California,null,60,2019,60
Academy of Art University,6694,3118,2019,9812
Academy of Chinese Culture and Health Sciences,null,133,2019,133
Acupuncture and Integrative Medicine College-Berkeley,null,93,2019,93
Acupuncture and Massage College,81,125,2019,206
Adams State University,1955,1159,2019,3114
Adelphi University,5360,2631,2019,7991
Adler Graduate School,null,309,2019,309
Adler University,null,1558,2019,1558
Adrian College,1784,49,2019,1833
AdventHealth University,1234,454,2019,1688
Agape College of Business and Science,null,null,2019,null
Agnes Scott College,1005,62,2019,1067
Agora University,null,null,2019,null
Aims Community College,6634,null,2019,6634
Air Force Institute of Technology-Graduate School of Engineering & Management,null,995,2019,995
Alabama A & M University,5273,899,2019,6172
Alabama College of Osteopathic Medicine,null,660,2019,660
Alabama State University,3750,440,2019,4190
Alaska Bible College,40,null,2019,40
Alaska Pacific University,337,192,2019,529
Albany College of Pharmacy and Health Sciences,794,446,2019,1240
Albany Law School,null,534,2019,534
Albany Medical College,null,828,2019,828
Albany State University,5778,344,2019,6122
Albert Einstein College of Medicine,null,962,2019,962
Albertus Magnus College,1116,303,2019,1419
Albion College,1475,null,2019,1475
Albizu University-Miami,120,600,2019,720
Albizu University-San Juan,567,1513,2019,2080
Albright College,1718,40,2019,1758
Alcorn State University,3069,454,2019,3523
Alder Graduate School of Education,null,null,2019,null
Alfred University,1715,667,2019,2382
Alhambra Medical University,63,106,2019,169
Alice Lloyd College,575,null,2019,575
Allegheny College,1775,null,2019,1775
Allegheny Wesleyan College,68,null,2019,68
Allen College,339,317,2019,656
Allen University,754,63,2019,817
Alliant International University-San Diego,631,2905,2019,3536
Alma College,1442,null,2019,1442
Alpena Community College,1487,null,2019,1487
Alvernia University,2123,608,2019,2731
Alverno College,1105,639,2019,1744
Amberton University,187,887,2019,1074
Ambria College of Nursing,205,null,2019,205
America Evangelical University,35,73,2019,108
American Academy of Art College,205,null,2019,205
American Academy of Health and Wellness,null,85,2019,85
American Baptist College,99,null,2019,99
American College of Acupuncture and Oriental Med,null,104,2019,104
American College of Education,99,5958,2019,6057
American College of Financial Services,6616,481,2019,7097
American College of Healthcare Sciences,472,243,2019,715
American College of the Building Arts,94,null,2019,94
American Film Institute Conservatory,null,334,2019,334
American Institute of Alternative Medicine,376,22,2019,398
American InterContinental University System,9153,799,2019,9952
American InterContinental University-Atlanta,1527,236,2019,1763
American InterContinental University-Houston,235,69,2019,304
American International College,1341,1550,2019,2891
American Islamic College,6,10,2019,16
American Jewish University,33,75,2019,108
American Medical Academy,458,null,2019,458
American Medical Sciences Center,64,null,2019,64
American Musical and Dramatic Academy,1773,null,2019,1773
American National University,741,58,2019,799
American National University-Pikeville,208,null,2019,208
American Public University System,37335,7914,2019,45249
American Samoa Community College,1035,null,2019,1035
American University,8527,5791,2019,14318
American University of Health Sciences,359,25,2019,384
American University of Puerto Rico,370,29,2019,399
American University of Puerto Rico,520,22,2019,542
Amherst College,1839,null,2019,1839
Amridge University,365,468,2019,833
Ana G. Mendez University,515,536,2019,1051
Anabaptist Mennonite Biblical Seminary,null,88,2019,88
Anderson University,1311,256,2019,1567
Anderson University,2893,650,2019,3543
Andrew College,289,null,2019,289
Andrews University,1693,1697,2019,3390
Angeles College,267,null,2019,267
Angelo State University,8981,1587,2019,10568
Anna Maria College,1109,332,2019,1441
Antelope Valley Community College District,13909,null,2019,13909
Antigua College International,null,null,2019,null
Antioch College,95,null,2019,95
Antioch University,2,12,2019,14
Antioch University-Los Angeles,165,627,2019,792
Antioch University-New England,null,858,2019,858
Antioch University-Santa Barbara,78,247,2019,325
Antioch University-Seattle,85,580,2019,665
AOMA Graduate School of Integrative Medicine,null,140,2019,140
Appalachian Bible College,225,2,2019,227
Appalachian College of Pharmacy,null,216,2019,216
Appalachian School of Law,null,164,2019,164
Appalachian State University,17518,1762,2019,19280
Aquinas College,1456,144,2019,1600
Aquinas Institute of Theology,null,118,2019,118
Arapahoe Community College,12759,null,2019,12759
Arcadia University,2149,1314,2019,3463
Arizona Christian University,870,null,2019,870
Arizona College of Nursing-Aurora,null,null,2019,null
Arizona College of Nursing-Cincinnati,null,null,2019,null
Arizona College of Nursing-Cleveland,null,null,2019,null
Arizona College of Nursing-Dallas,197,null,2019,197
Arizona College of Nursing-Falls Church,null,null,2019,null
Arizona College of Nursing-Fort Lauderdale,null,null,2019,null
Arizona College of Nursing-Las Vegas,597,null,2019,597
Arizona College of Nursing-Ontario,null,null,2019,null
Arizona College of Nursing-Phoenix,null,null,2019,null
Arizona College of Nursing-Salt Lake City,null,null,2019,null
Arizona College of Nursing-Sarasota,null,null,2019,null
Arizona College of Nursing-Southfield,null,null,2019,null
Arizona College of Nursing-Tampa,null,null,2019,null
Arizona College of Nursing-Tempe,479,null,2019,479
Arizona College of Nursing-Tucson,null,null,2019,null
Arizona School of Acupuncture and Oriental Medicine,null,35,2019,35
Arizona State University Campus Immersion,44461,8825,2019,53286
Arizona State University Digital Immersion,34540,10533,2019,45073
Arkansas Baptist College,531,null,2019,531
Arkansas Colleges of Health Education,null,513,2019,513
Arkansas State University,8928,4428,2019,13356
Arkansas Tech University,11015,814,2019,11829
Arlington Baptist University,145,4,2019,149
Art Academy of Cincinnati,212,7,2019,219
Art Center College of Design,2062,273,2019,2335
Asbury Theological Seminary,null,1698,2019,1698
Asbury University,1724,216,2019,1940
Ascent College,30,null,2019,30
Ashford University,26914,5706,2019,32620
Ashland University,3653,1438,2019,5091
Aspen University,4537,2356,2019,6893
Associated Beth Rivkah Schools,192,null,2019,192
Assumption University,2048,395,2019,2443
ATA Career Education,289,null,2019,289
ATA College-Cincinnati,261,null,2019,261
Atenas College,750,null,2019,750
Athenaeum of Ohio,53,139,2019,192
Athens State University,2774,167,2019,2941
ATI College-Whittier,23,null,2019,23
Atlanta Metropolitan State College,1844,null,2019,1844
Atlanta's John Marshall Law School,null,279,2019,279
Atlantic Institute of Oriental Medicine,39,97,2019,136
Atlantic University,1617,112,2019,1729
Atlantis University,211,188,2019,399
Auburn University,24594,5866,2019,30460
Auburn University at Montgomery,4523,665,2019,5188
Augsburg University,2512,913,2019,3425
Augusta University,5604,3046,2019,8650
Augustana College,2546,null,2019,2546
Augustana University,1818,295,2019,2113
Aultman College of Nursing and Health Sciences,305,null,2019,305
Aurora University,4104,2142,2019,6246
Austin College,1279,20,2019,1299
Austin Community College District,41056,null,2019,41056
Austin Peay State University,9971,1077,2019,11048
Austin Presbyterian Theological Seminary,null,156,2019,156
Ave Maria School of Law,null,270,2019,270
Ave Maria University,1129,48,2019,1177
Averett University,894,null,2019,894
Aviator College of Aeronautical Science and Technology,238,null,2019,238
Avila University,1153,373,2019,1526
Azusa Pacific University,5136,4161,2019,9297
Babson College,2386,939,2019,3325
Bacone College,275,null,2019,275
Bais Binyomin Academy,38,null,2019,38
Bais HaMedrash and Mesivta of Baltimore,72,null,2019,72
Bais Medrash Elyon,47,58,2019,105
Bais Medrash Mayan Hatorah,46,null,2019,46
Bais Medrash of Dexter Park,null,null,2019,null
Bais Medrash Toras Chesed,112,null,2019,112
Baker College,7240,366,2019,7606
Baker University,1672,923,2019,2595
Bakersfield College,26380,null,2019,26380
Bakke Graduate University,null,81,2019,81
Baldwin Wallace University,2964,540,2019,3504
Ball State University,16702,5741,2019,22443
Bank Street College of Education,null,717,2019,717
Baptist Health Sciences University,971,18,2019,989
Baptist Health System School of Health Professions,600,5,2019,605
Baptist Missionary Association Theological Seminary,84,67,2019,151
Baptist University of Florida,430,25,2019,455
Baptist University of the Americas,152,null,2019,152
Barclay College,189,36,2019,225
Bard College,1957,332,2019,2289
Bard College at Simon's Rock,398,null,2019,398
Barnard College,2631,null,2019,2631
Barnes-Jewish College Goldfarb School of Nursing,569,94,2019,663
Barry University,3747,3654,2019,7401
Barton College,1065,96,2019,1161
Bastyr University,155,839,2019,994
Bates College,1820,null,2019,1820
Bay Mills Community College,511,null,2019,511
Bay Path University,1817,1507,2019,3324
Baylor College of Medicine,null,1586,2019,1586
Baylor University,14108,3925,2019,18033
Be'er Yaakov Talmudic Seminary,583,null,2019,583
Beacon College,416,null,2019,416
Beal University,390,null,2019,390
Beckfield College-Florence,710,null,2019,710
Beis Medrash Heichal Dovid,130,12,2019,142
Belhaven University,2369,2205,2019,4574
Bellarmine University,2553,778,2019,3331
Bellevue College,12563,null,2019,12563
Bellevue University,8204,3433,2019,11637
Bellin College,516,133,2019,649
Bellingham Technical College,2325,null,2019,2325
Belmont Abbey College,1507,null,2019,1507
Belmont University,6820,1620,2019,8440
Beloit College,1143,null,2019,1143
Bemidji State University,4490,407,2019,4897
Benedict College,2034,6,2019,2040
Benedictine College,2085,73,2019,2158
Benedictine University,2493,1908,2019,4401
Benjamin Franklin Cummings Institute of Technology,612,null,2019,612
Bennett College,311,null,2019,311
Bennington College,729,97,2019,826
Bentley University,4228,1086,2019,5314
Berea College,1688,null,2019,1688
Bergin University of Canine Studies,36,23,2019,59
Berkeley College-New York,2954,null,2019,2954
Berkeley College-Woodland Park,2682,176,2019,2858
Berkeley School of Theology,null,39,2019,39
Berklee College of Music,6439,560,2019,6999
Berry College,1943,91,2019,2034
Bet Medrash Gadol Ateret Torah,90,null,2019,90
Beth Hamedrash Shaarei Yosher Institute,80,null,2019,80
Beth Medrash Govoha,2726,4046,2019,6772
Beth Medrash Meor Yitzchok,164,null,2019,164
Beth Medrash of Asbury Park,66,null,2019,66
Bethany College,816,null,2019,816
Bethany College,516,19,2019,535
Bethany Global University,323,29,2019,352
Bethany Lutheran College,741,null,2019,741
Bethany Theological Seminary,null,62,2019,62
Bethel College-North Newton,456,null,2019,456
Bethel University,1273,177,2019,1450
Bethel University,2799,1206,2019,4005
Bethel University,3809,761,2019,4570
Bethesda University,258,139,2019,397
Bethlehem College & Seminary,126,66,2019,192
Bethune-Cookman University,2778,123,2019,2901
Beulah Heights University,237,162,2019,399
Beverly Hills Design Institute,16,null,2019,16
Bexley Hall Seabury Western Theological Seminary Federation  Inc.,null,80,2019,80
Big Bend Community College,2131,null,2019,2131
Binghamton University,14165,3959,2019,18124
Biola University,4043,2060,2019,6103
Birmingham-Southern College,1209,null,2019,1209
Bismarck State College,3739,null,2019,3739
Black Hills State University,3684,174,2019,3858
Blackburn College,482,null,2019,482
Blackfeet Community College,366,null,2019,366
Blessing Rieman College of Nursing and Health Sciences,165,17,2019,182
Bloomfield College,1612,16,2019,1628
Blue Mountain Christian University,801,20,2019,821
Bluefield State University,1241,null,2019,1241
Bluefield University,939,217,2019,1156
Bluffton University,710,58,2019,768
Bob Jones University,2651,357,2019,3008
Boise Bible College,95,null,2019,95
Boise State University,22896,3321,2019,26217
Bolivar Technical College,130,null,2019,130
Bon Secours Memorial College of Nursing,448,null,2019,448
Boricua College,630,123,2019,753
Boston Architectural College,364,373,2019,737
Boston Baptist College,63,null,2019,63
"Boston College, Trustees of",9901,4846,2019,14747
Boston Graduate School of Psychoanalysis Inc,null,130,2019,130
Boston University,17983,15737,2019,33720
Bowdoin College,1835,null,2019,1835
Bowie State University,5227,944,2019,6171
Bowling Green State University-Firelands,2167,null,2019,2167
Bowling Green State University-Main Campus,15103,2630,2019,17733
Bradley University,4636,1293,2019,5929
Brandeis University,3688,2137,2019,5825
Brazosport College,4217,null,2019,4217
Brenau University,1754,1063,2019,2817
Brescia University,937,77,2019,1014
Brevard College,751,null,2019,751
Brewton-Parker College,896,null,2019,896
Briar Cliff University,872,257,2019,1129
Bridges Christian College,null,null,2019,null
Bridgewater College,1713,41,2019,1754
Bridgewater State University,9463,1418,2019,10881
Brigham Young University,31292,3026,2019,34318
Brigham Young University-Hawaii,3096,null,2019,3096
Brigham Young University-Idaho,39145,null,2019,39145
Brite Divinity School,null,167,2019,167
Brookline College-Albuquerque,452,null,2019,452
Brookline College-Phoenix,1437,14,2019,1451
Brookline College-Tempe,478,null,2019,478
Brooklyn Law School,null,1096,2019,1096
Broward College,38976,null,2019,38976
Brown University,7160,3173,2019,10333
Bryan College of Health Sciences,657,116,2019,773
Bryan College-Dayton,1240,207,2019,1447
Bryan University,1115,null,2019,1115
Bryan University,266,8,2019,274
Bryant & Stratton College-Albany,418,null,2019,418
Bryant & Stratton College-Buffalo,1038,null,2019,1038
Bryant & Stratton College-Greece,449,null,2019,449
